,comments
1587,"What , No Orange Spray Tan ?"
1588,All if them
1589,Rylee J. McCollum
1590,This guy blames everyone….points fingers towards everyone else other than himself. In no way is he fit to be a commander.
1591,"What a piece of nothing. He looks like an empry shell of a man. And shuffles his feet , instead of lifting his legs. You can just see he is getting worse."
1592,Darin T. Hoover
1593,THEY ARE HAPPY ABOUT THE AIRLIFT........... why are they so happy... because theyre delusional
1594,Ryan C. Knauss
1595,He lied so much in all of this
1596,"Way to go President Biden for bringing our troops home!! You're the man!,🐐✈️✈️✈️🪖💜🇺🇸"
1597,David L. Espinoza
1598,old fart
1599,Jared M. Schmitz
1600,"What a disgrace
So many thoughts going thru my head right now"
1601,"orange man bad amirite fellas?


Fellas??? Where u at??? Lemme just check twitter......"
1602,I can't believe this guy is our president makes me feel ashamed
1603,This guy is clueless whT he's talking about...and his ad...they're as bad as he is now how the hell did they put this guy in charge where the fudge is trump!¿¿¿¿¿¿
1604,Looks like we have some Trolls and Bots in the comments. Prove me wrong.
1605,Omg …this man frightens the life out of me …Him and his cronies (who wrote this speech )are a danger  not just to America but to the world …
1606,Liar
1607,it’s funny because I don’t think there’s a single person that likes Joe Biden LMFAO….
1608,Joe you’re threats are as empty as your head.
1609,Humberto A. Sanchez
1610,"He is lying, check his facts. Get him out."
1611,"The disastrous jogging admittedly arrest because learning relatively waste of a defeated printer. torpid, flashy bush"
1612,Lie lie lie
1613,Where is Afghanistan president let him answer what went wrong and is he giving the usa all our money back or what is left
1614,"At some point we have to cut the loss. It has been 20 years, thousands of us dead, Bin Laden is dead. We had our revenge, we should leave."
1615,His smile looks like the cat from Alice and Wonderland
1616,funny his eyes never get off the screen hes reading....trump never did and thats why his big mouth was a laughing stock to the media and now we wish we had him back hahaah
1617,May GOD BLESS the GREAT PRESIDENT JOE BIDEN 🇺🇸 #AmericaFirst
1618,Lol .trump Trump. .lol
1619,Maxton Soviak
1620,Was there ever a more disingenuous speech?
1621,🤦
1622,"Kareem M. Nikoui,"
1623,Disgusting
1624,Definitely not president material.
1625,"Now, is it tapioca night?  I’m kinda tired from yelling at the TelePrompTer."
1626,Dogggg bi đen🤣🤣🤣💨🤚🤚🤚💩💩💩💩🐕🐕🐕🐕😡😡😡😡
1627,Dylan R. Merola
1628,A hole
1629,"The capable vietnam booly rot because squirrel monthly pump in a ludicrous pasta. zealous, dashing ornament"
1630,We have a new name for joe: mr burns
1631,Hunter Lopez
1632,"As the English is my third language, I found Biden’s speech is much more easy to understand than any other President’s speech."
1633,Biden gave an excellent speech. Could not have been better. And I agree with him.
1634,Why bother ending what you started
1635,Yeah he was at the base when the 13 service men and women's caskets arrived. He checked his watch about 13 times while they were being unloaded from the plane. He's an embarrassment to this country and the whole world knows it.
1636,Where are the 80 million who voted for him? I don't see any support here.
1637,Go to the bed clown 🤡🤡👎
1638,"Joe 90% is good on a math test, not good when you are talking about saving lives. You make Tump look like a reliable ally and truth teller."
1639,Ugh
1640,You abandoned the Afghan people to die and destroyed our reputation with our other allies for cynical political points. Disgusting.
1641,Great speech
1642,"Great, lucid, speech. Right side of history"
1643,"At long last.
A cup of coffee in the a.m. to help change the things we can.
A glass of wine at the end of the day (a parting glass to those who sacrificed) .....to accept the things we will never change."
1644,A real President only takes responsibility for doing the right thing when one decides to admit that their faculties are sadly in decline for that is not just the responsible thing to do nor is it not only the bravest thing to do but more importantly it's the Presidential thing to do above all else despite of collosal failure!!!
1645,I see the fool in chief is a windbag too when he wants to be.
1646,"I love when this channel has so many dislikes, keep em coming boys"
1647,"Thousands dead, tens of thousands of our vets suffering from PTSD, billions of dollars spent, 20+ years of fighting, an entire generation of soldiers, and all that progress got erased practically within a month."
1648,Simply put- a blow hard
1649,"have you ever pulled the supports out from under a building? what happens is the building collapses, same thing happened in Afghanistan we pulled everything out at once and the government we had set up collapsed, should have had a staggered pull out, given the afghani government a chance to stand on its own legs."
1650,"Wow... avoided questions, again.
Sad just sad. What a flop he pulled on this whole plan. He skipped so many steps in the plan to save money, or what? I don't get the reason, why so fast and unplanned at all?"
1651,"We didnt end the war we were pushed out, we lose."
1652,"Great speech and I agree with our President.

 Haters triggered"
1653,We have a pandemic going on in the United States mr president we are tired of hearing about Afghanistan
1654,♥️♥️♥️♥️♥️🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
1655,"Make sure you go to the ""The White House"" YouTube channel and give the video a thumbs down."
1656,omg WE NEED TRUMP BACK IN OFFICE 2024
1657,God help us all
1658,He says no nation was able to pull off an airlift of this magnitude. I don think that’s something to be proud of. Sorry Mr. President you failed
1659,"For those who gave a thumbs down to this executive decision... you are now on your own...independently...to fight your own battles.
May your God be with you."
1660,"If EVEN ONE American who wanted to leave was left behind, the mission IS NOT COMPLETE.  And you, Mr. President, are guilty of abandoning the American people."
1661,That blank stare...
1662,He didnt end it just turned it to a new chapter
